Tmin,Rainfall,RH,Solar,Wind,Tmax,Discharge
21.1,1.5,0.34,20.66,4.02,33.3,380.40
20.0,0.2,0.40,20.19,3.61,32.2,376.20
21.1,10,0.40,19.71,3.82,33.3,383.30
20.0,3.5,0.34,18.65,3.19,32.2,389.70
20.0,2.7,0.47,10.12,3.16,31.1,382.60
21.1,0,0.41,20.06,3.31,33.3,375.50
22.2,4.8,0.33,20.80,3.91,33.3,362.00
21.1,29.2,0.32,20.65,4.16,32.2,354.20
21.1,30.9,0.31,20.42,4.34,32.2,347.10
20.0,0,0.31,19.83,4.50,32.2,340.10
20.0,0,0.25,20.11,4.50,32.2,333.00
19.4,0.2,0.24,19.55,4.04,33.3,297.60
17.8,24,0.27,19.22,4.79,23.3,297.60
17.8,25,0.23,19.02,4.94,28.9,291.90
16.7,0,0.19,18.90,5.29,28.9,286.20
16.1,0,0.25,19.37,4.32,29.4,280.00
16.7,0,0.19,19.44,4.60,29.4,273.80
16.7,10.8,0.23,18.95,3.89,30.0,259.00
16.7,0,0.20,18.47,4.10,30.0,246.00
17.2,0,0.10,18.79,4.56,28.9,240.30
16.7,0,0.26,17.04,4.64,30.0,234.60
16.7,0,0.28,9.57,3.55,28.9,229.00
14.4,0,0.26,17.03,3.77,30.0,223.30
14.4,0,0.24,17.74,3.34,28.9,217.60
14.4,0,0.22,18.36,3.18,30.0,212.00
13.3,0,0.30,17.93,2.96,28.9,206.30
14.4,0,0.20,17.74,3.96,28.9,200.60
13.3,0,0.20,17.61,4.40,30.0,195.00
12.2,0,0.24,17.58,3.82,27.8,189.30
12.2,0,0.22,17.70,4.29,23.3,184.20
14.4,0,0.21,17.39,3.71,30.0,184.20
14.4,0.6,0.25,17.39,3.27,25.6,183.80
14.4,0.5,0.11,17.37,4.09,28.9,180.00
13.9,13.6,0.17,17.48,4.15,29.4,180.00
13.9,0,0.21,17.17,3.51,30.0,180.00
14.4,0,0.23,16.85,3.59,30.0,179.50
14.4,0,0.18,16.40,4.22,30.0,175.70
13.9,0,0.11,16.77,4.06,31.7,175.30
13.9,0,0.13,16.79,3.83,31.7,171.40
15.6,0,0.13,16.76,3.40,27.8,171.00
13.9,0,0.15,16.55,3.76,28.9,167.20
13.3,0,0.11,16.36,4.19,28.9,167.20
13.9,0,0.10,16.21,4.10,28.3,167.20
13.9,0,0.13,15.87,4.13,28.9,166.80
13.3,0,0.10,15.82,4.68,27.8,162.50
14.4,0,0.09,15.75,4.09,28.9,158.30
13.3,0,0.15,16.02,3.61,29.4,154.00
12.8,0,0.14,15.71,4.15,28.3,150.20
12.2,0,0.17,14.90,3.67,27.8,150.20
11.7,29.5,0.23,12.44,3.15,27.8,150.20
12.2,0,0.16,9.56,3.98,27.8,149.80
13.3,0,0.23,8.28,3.72,26.7,145.90
13.3,0,0.26,14.27,3.10,25.6,145.50
12.8,0,0.23,14.81,3.10,26.1,141.70
12.2,0,0.24,14.60,3.01,26.7,141.40
9.4,0,0.16,14.64,3.63,26.1,138.90
10.0,0,0.15,14.43,4.37,25.6,138.90
11.1,0,0.21,14.40,3.70,23.3,138.90
11.1,0,0.24,14.10,3.86,21.1,138.90
12.2,0,0.22,14.06,3.67,20.0,138.60
12.2,0,0.20,14.40,3.31,18.9,136.00
10.0,0,0.22,12.51,3.26,21.1,136.00
11.1,0,0.18,13.48,3.68,22.2,136.00
10.6,0,0.18,13.12,3.83,23.3,136.00
10.0,0,0.21,9.01,3.83,24.4,136.00
11.1,0,0.15,13.74,3.98,24.4,136.00
10.0,0,0.21,13.60,3.44,23.9,134.90
8.9,0,0.13,14.02,3.53,23.3,134.60
8.9,0,0.10,14.24,3.48,22.2,133.20
8.9,0,0.10,14.25,3.72,21.7,133.20
8.9,0,0.08,14.23,3.70,18.9,133.20
8.9,0,0.19,14.16,3.27,22.2,133.20
9.4,0,0.15,13.90,3.92,22.8,133.20
8.9,0,0.15,13.87,3.68,17.8,132.90
11.7,0,0.12,13.88,3.75,17.2,130.40
6.7,0,0.14,13.88,4.18,17.8,130.40
5.6,0,0.20,13.95,3.82,17.8,130.40
6.1,0,0.17,13.72,3.45,18.9,130.10
6.7,0,0.14,13.76,4.08,17.8,127.50
5.6,0,0.16,13.75,3.74,18.9,127.20
7.8,0,0.17,13.82,3.35,17.8,124.70
6.7,0,0.19,13.90,3.49,16.7,124.70
6.7,0,0.16,13.95,3.50,20.0,124.70
6.7,0,0.12,13.86,3.53,21.1,124.40
7.2,0,0.15,13.89,3.42,21.7,121.90
6.7,0,0.20,13.52,2.12,21.1,121.60
6.7,0,0.56,2.96,3.60,20.0,119.00
7.2,0,0.27,12.54,4.08,21.7,119.00
6.7,0,0.15,13.09,3.82,21.1,119.00
7.8,0,0.23,13.69,3.42,21.1,119.00
6.7,0,0.30,13.75,3.21,20.0,119.00
6.1,0,0.26,13.81,3.36,20.6,118.70
6.1,0,0.22,0.07,4.76,19.4,116.20
7.8,0,0.25,13.67,3.36,20.0,116.20
10.0,0,0.25,13.88,3.34,14.4,115.90
7.8,0,0.28,13.59,2.63,20.0,113.40
8.9,0,0.33,10.21,3.26,22.2,113.40
8.3,0,0.26,13.70,3.96,22.8,113.40
7.8,0,0.24,13.93,4.37,23.3,113.40
7.8,0,0.24,13.89,4.18,22.2,113.10
8.9,0,0.25,13.98,4.22,20.0,110.50
8.9,0,0.27,14.18,3.41,22.2,110.50
7.8,0,0.28,13.71,3.26,22.8,110.50
8.3,0,0.25,13.83,4.05,21.1,110.50
7.8,0,0.18,14.45,4.46,17.8,110.50
7.8,0,0.15,14.58,4.37,19.4,110.50
8.9,0,0.16,14.70,4.34,21.1,110.50
8.9,0,0.18,14.27,4.10,20.0,110.50
8.3,0,0.25,14.68,4.34,21.1,108.00
8.9,0,0.22,14.01,3.54,21.1,107.70
7.8,0,0.60,3.55,3.93,18.9,107.70
8.9,0,0.86,0.83,3.28,20.0,107.70
8.9,0,0.75,2.43,3.18,21.1,107.70
7.8,0,0.49,14.21,3.49,18.9,107.70
7.8,0,0.36,15.32,3.68,20.0,107.70
5.6,1.5,0.37,14.15,3.55,17.8,107.40
6.7,0,0.27,15.40,4.49,18.9,104.90
7.2,0,0.17,15.80,4.39,17.2,104.90
10.0,0,0.32,15.48,2.64,16.7,104.90
6.7,0,0.36,7.65,3.75,14.4,104.90
6.7,0,0.31,15.77,3.46,12.2,107.40
5.6,0,0.22,15.62,2.87,14.4,104.90
5.6,0,0.22,15.75,3.40,16.7,104.90
5.6,0,0.23,16.02,3.21,15.6,104.90
5.6,0,0.19,16.20,4.18,16.7,104.90
5.6,0,0.59,12.22,2.17,18.9,104.90
8.9,0,0.56,7.25,3.17,17.8,104.90
7.8,0,0.24,16.12,4.03,13.9,104.90
4.4,0,0.13,17.06,4.11,20.0,104.90
7.8,0,0.17,17.39,4.07,18.3,104.90
6.7,0,0.11,17.54,4.86,17.8,104.90
5.6,0,0.38,12.58,4.32,16.7,104.90
7.8,0,0.53,10.25,3.70,18.3,104.90
8.9,0,0.51,9.80,3.54,13.3,105.10
7.2,0,0.20,17.59,3.73,12.2,107.40
7.2,0,0.22,17.74,4.73,16.7,104.90
6.7,0,0.19,17.52,4.72,17.8,104.90
6.7,0,0.23,17.55,4.86,18.9,104.90
7.8,0.6,0.27,17.38,3.50,20.0,104.90
8.9,0,0.18,18.20,4.33,17.8,104.90
11.1,40.5,0.18,18.66,4.02,17.8,104.90
7.2,1.8,0.17,18.53,4.64,12.2,104.90
6.7,0,0.19,18.90,4.83,15.6,104.90
6.7,0,0.14,18.94,4.87,17.8,104.90
7.8,0,0.17,19.08,5.31,18.9,104.90
7.8,0,0.23,18.94,4.71,21.1,104.90
8.9,0,0.21,19.38,4.79,20.0,104.90
7.8,3.8,0.36,13.08,6.23,21.1,104.90
8.9,0,0.33,16.15,5.31,21.1,104.90
7.8,0,0.19,18.06,5.69,17.8,104.90
8.9,0,0.21,20.07,4.87,20.0,104.90
8.9,0,0.21,19.70,4.47,20.0,104.90
8.9,0,0.23,18.38,5.48,21.1,104.90
8.9,11.5,0.28,7.01,4.44,22.2,104.60
11.1,9,0.15,19.88,3.80,23.3,101.70
17.2,0,0.13,21.13,3.78,26.7,101.70
11.7,0,0.13,20.89,3.54,24.4,101.70
10.0,0,0.18,19.90,4.74,23.3,101.70
10.6,0,0.17,19.86,5.78,23.9,101.70
11.1,0,0.20,17.72,4.08,26.7,101.80
14.4,2.5,0.18,20.56,5.15,28.9,102.30
10.0,3,0.17,16.91,4.83,24.4,104.90
10.0,0,0.21,19.59,5.95,24.4,104.90
11.1,0,0.20,12.98,5.87,24.4,104.90
13.3,0,0.19,18.42,4.16,25.6,104.90
15.6,0,0.51,11.04,2.83,23.3,104.90
15.6,0,0.71,8.83,4.13,27.8,104.90
14.4,0,0.31,18.11,4.10,27.8,105.10
14.4,0,0.23,20.04,3.58,28.9,108.00
14.4,0,0.67,1.88,4.22,24.4,113.10
15.6,0,0.55,14.43,2.44,22.2,110.50
15.6,0,0.39,19.80,3.41,25.6,110.80
15.6,0,0.18,23.01,5.39,26.7,113.40
14.4,0,0.26,10.72,5.32,25.6,113.40
14.4,0,0.22,23.36,5.64,23.3,113.40
13.3,0,0.18,23.96,5.46,20.0,113.40
14.4,3.5,0.17,24.02,5.07,17.8,113.40
14.4,0,0.21,23.85,4.50,25.6,113.10
13.3,0,0.24,22.25,5.61,22.2,110.80
13.3,,0.65,3.51,4.47,23.3,113.10
14.4,0,0.38,17.66,3.70,24.4,110.50
12.2,0,0.32,23.90,3.64,23.3,110.50
12.2,0,0.42,16.42,2.88,24.4,110.20
12.2,0,0.48,5.32,4.14,25.6,107.70
13.3,0,0.44,15.54,3.47,26.7,107.70
14.4,0,0.74,4.73,3.53,27.8,108.00
15.6,0,0.40,15.96,4.51,30.0,111.10
14.4,0,0.31,24.49,4.04,20.0,119.00
13.3,0,0.37,24.98,4.16,18.9,119.00
14.4,0,0.30,24.89,5.08,24.4,119.30
14.4,0,0.38,20.81,5.12,22.2,124.40
15.6,0,0.33,23.00,4.73,24.4,118.70
12.2,0,0.35,25.61,4.47,25.6,116.50
12.2,0,0.22,25.83,5.26,15.6,119.00
12.2,0.6,0.26,25.34,6.00,17.8,118.70
11.1,1.7,0.21,25.22,6.30,22.2,116.20
12.2,4,0.24,21.11,5.36,23.3,116.20
15.6,0,0.52,13.52,5.45,24.4,116.20
16.7,3.2,0.39,7.93,5.61,26.7,116.20
15.6,0,0.24,26.37,4.45,26.7,116.80
16.7,0,0.18,26.23,5.04,27.8,127.80
17.8,0,0.19,26.67,5.62,28.9,130.40
18.3,0,0.24,26.53,5.19,29.4,130.60
18.9,0,0.21,25.95,5.50,30.0,136.30
20.0,0,0.18,26.76,5.10,31.1,141.00
13.3,0,0.16,27.07,5.23,25.6,170.60
13.3,0,0.19,27.35,5.54,26.7,158.30
15.6,0,0.14,26.90,6.00,27.8,149.80
16.7,4.1,0.20,24.27,4.78,28.9,141.40
17.8,4,0.24,24.32,4.29,30.0,138.60
17.8,0,0.21,24.48,4.53,28.9,141.40
18.9,9.8,0.29,17.44,4.25,31.1,146.40
20.0,3.9,0.26,20.00,4.02,32.2,155.30
20.0,19.7,0.32,19.78,3.39,33.3,176.50
21.1,18,0.31,14.26,3.44,34.4,196.70
22.2,2.5,0.45,16.31,3.37,34.4,213.10
21.1,5,0.55,13.35,3.26,34.4,218.20
18.9,0,0.49,9.65,3.40,26.7,209.10
21.1,0,0.37,26.94,3.59,33.3,182.50
20.0,0,0.55,22.84,3.86,30.0,180.40
17.8,12.5,0.31,14.28,5.08,32.2,191.00
18.9,0,0.15,29.49,5.31,33.3,207.40
17.8,0,0.12,29.60,5.73,30.0,213.70
16.7,1.4,0.18,23.47,5.25,28.9,235.80
17.8,0,0.15,26.74,4.99,32.2,246.50
17.8,1.5,0.11,29.12,6.54,23.3,247.10
18.9,32,0.12,25.55,5.85,31.1,261.80
16.7,3.5,0.10,29.79,5.50,31.1,340.10
17.8,0,0.10,29.52,5.41,30.0,307.50
15.6,0,0.10,28.56,6.34,30.0,217.10
17.8,0,0.17,18.38,7.49,30.6,195.00
20.0,0,0.10,30.04,5.71,33.3,183.80
21.1,0,0.07,30.31,6.48,33.9,179.50
20.6,0,0.11,29.31,6.49,34.4,170.60
20.0,0,0.10,29.65,6.03,35.0,158.70
22.2,0,0.16,28.17,5.99,34.4,159.10
22.2,0,0.21,20.36,4.40,33.3,167.20
23.3,1.7,0.19,28.16,4.47,34.4,163.40
23.3,2.4,0.19,21.86,4.76,35.6,159.10
22.2,0,0.19,28.57,5.64,34.4,169.30
22.2,0,0.18,26.53,5.32,35.6,207.40
23.3,0,0.18,27.43,4.02,36.7,219.30
22.2,0,0.19,25.89,4.70,37.8,241.40
23.3,2.5,0.20,21.15,2.72,37.8,246.50
23.3,1.5,0.19,27.37,3.61,36.7,247.70
23.3,0.8,0.26,23.87,2.83,35.6,264.70
24.4,12.6,0.37,21.41,2.80,36.7,281.10
24.4,2.9,0.26,27.04,3.49,37.8,288.50
24.4,14.9,0.22,27.62,3.70,36.7,334.40
24.4,40,0.45,26.13,4.12,35.6,338.60
22.2,0,0.29,28.81,3.90,34.4,320.20
20.0,0,0.24,29.33,4.64,23.3,247.70
21.1,0,0.20,28.84,4.71,31.1,273.20
26.1,0,0.21,28.85,4.88,32.2,298.30
20.0,0,0.15,30.42,4.65,30.6,306.10
21.1,0,0.16,28.96,4.07,32.2,330.10
22.2,0,0.16,29.82,3.74,32.2,416.60
22.2,0,0.18,29.87,4.93,33.3,436.40
23.3,0,0.17,29.54,5.44,32.2,396.70
24.4,0,0.16,29.34,5.54,35.6,400.30
22.2,0,0.14,30.13,5.33,31.1,413.70
22.2,0,0.15,29.61,4.75,34.4,425.80
21.1,0,0.28,28.96,2.93,35.6,467.60
20.0,0,0.24,27.44,3.23,26.7,425.10
22.2,0,0.25,29.47,4.26,34.4,429.30
24.4,0,0.20,29.03,3.87,35.6,499.50
25.6,0,0.17,29.39,4.19,36.7,554.00
21.1,0,0.21,26.07,3.45,37.8,578.10
21.1,0.5,0.32,28.35,2.84,35.6,597.90
22.2,0,0.28,26.11,2.82,36.7,643.30
23.3,0,0.37,28.03,2.81,33.3,670.20
22.2,0,0.26,29.27,3.39,36.7,641.20
23.3,0,0.16,29.46,3.88,34.4,775.10
24.4,5.1,0.20,29.58,4.35,35.6,867.90
24.4,1.5,0.20,29.71,4.48,36.7,870.00
24.4,26.4,0.19,29.57,4.90,34.4,776.50
23.3,0,0.16,29.86,4.65,35.6,803.40
22.2,2.5,0.15,29.94,4.67,33.3,760.90
24.4,0,0.22,29.36,3.33,36.7,691.50
24.4,0,0.25,29.00,3.95,33.3,710.60
21.1,0.5,0.37,28.92,3.01,32.2,619.90
23.3,2.3,0.42,26.06,2.93,34.4,529.20
24.4,1.5,0.37,27.97,2.92,35.0,520.70
24.4,17,0.37,27.86,2.76,36.7,581.70
26.7,0,0.35,28.05,2.72,37.2,651.80
26.7,0,0.44,28.21,2.82,37.8,736.10
25.6,0,0.52,27.70,2.38,36.7,819.70
24.4,18,0.64,26.44,2.74,35.0,908.30
22.2,0,0.67,26.35,2.59,34.4,950.10
22.8,3.5,0.76,12.59,1.97,32.2,944.40
22.2,4.3,0.57,28.10,2.62,32.2,984.10
22.2,0,0.65,25.83,2.96,33.3,919.60
23.3,0,0.72,20.67,2.42,28.9,797.70
24.4,0.8,0.63,26.38,2.08,30.0,794.90
25.6,0,0.65,23.78,2.40,32.2,930.20
23.3,0,0.52,20.54,2.05,31.1,973.40
24.4,7.7,0.56,24.89,2.26,28.9,1025.90
24.4,2.5,0.71,15.88,1.82,27.8,952.90
25.6,0,0.72,25.68,1.75,32.2,938.00
26.7,0,0.83,12.34,1.70,33.3,901.20
23.3,14.4,0.84,13.95,2.22,31.1,872.10
23.3,0,0.89,2.52,1.90,32.2,868.60
23.3,0,0.66,14.00,2.12,31.1,1019.50
24.4,0,0.70,24.34,2.49,30.0,998.20
24.4,0,0.78,16.30,2.93,32.2,967.80
24.4,0,0.88,1.86,3.56,30.0,977.70
23.3,0,0.89,1.31,1.79,32.2,1006.70
25.6,1,0.59,18.32,2.37,30.0,1042.20
22.2,12.8,0.39,27.63,3.38,31.1,1094.60
23.3,34.4,0.41,26.39,2.91,26.7,1001.80
23.3,25.4,0.58,19.67,3.26,31.1,952.20
24.4,60,0.82,21.88,1.97,32.2,937.30
23.3,7.5,0.78,22.51,1.27,28.9,988.30
22.2,2.7,0.77,20.63,1.66,24.4,1300.70
21.1,0,0.76,23.92,1.74,23.3,1789.90
22.2,0,0.90,5.32,2.15,30.0,1283.70
22.8,9.1,0.80,9.20,1.88,32.8,983.40
22.2,0,0.65,25.19,2.59,33.3,820.40
24.4,0.3,0.60,22.31,2.42,33.9,747.40
24.4,0,0.61,25.94,2.78,32.8,743.20
24.4,3.5,0.65,25.54,2.30,26.7,774.40
23.9,31.4,0.74,24.65,1.95,30.0,853.70
23.3,29.5,0.71,23.62,2.03,25.6,1181.70
22.2,10.7,0.59,25.93,2.51,28.9,1528.90
22.2,25.6,0.62,25.88,2.38,26.7,1020.90
22.2,0,0.75,24.46,2.09,28.9,910.40
22.2,3.8,0.70,11.07,2.26,31.1,825.40
22.2,3.2,0.61,25.07,2.13,32.2,782.90
23.3,0,0.56,24.88,2.89,33.3,736.80
23.3,50.6,0.65,23.08,1.98,32.2,730.40
23.3,3.6,0.69,5.15,3.69,31.1,747.40
22.2,0,0.68,9.20,4.82,26.7,758.10
24.4,9.8,0.63,5.39,3.10,30.0,742.50
23.3,10,0.58,22.83,2.46,31.1,787.80
23.3,34.7,0.55,23.29,2.45,32.2,751.00
23.3,81,0.46,24.65,3.36,33.3,727.60
24.4,1.5,0.48,24.63,2.82,31.1,721.20
22.2,0,0.73,22.78,2.21,28.9,712.00
23.3,0,0.74,22.62,1.62,27.8,719.10
20.0,0.8,0.76,23.01,1.65,22.2,719.10
22.2,19.5,0.68,23.30,1.85,25.6,636.90
22.2,7.4,0.60,23.39,2.38,27.8,632.70
22.2,23,0.64,21.99,2.81,32.2,612.80
22.8,34.8,0.76,22.37,2.13,33.3,563.90
21.7,81,0.70,22.90,2.28,33.3,504.40
22.2,6.2,0.74,9.76,2.40,28.9,525.00
23.3,0.6,0.59,23.13,2.44,30.0,513.60
23.3,0,0.75,22.79,1.73,32.2,517.20
24.4,0,0.58,22.70,3.13,30.0,545.50
22.2,0,0.56,22.69,2.83,30.0,629.10
22.2,0,0.58,22.39,2.29,24.4,637.60
23.3,6.6,0.67,21.91,2.51,32.2,619.90
22.2,2.4,0.47,22.12,3.12,33.3,594.40
21.1,0,0.42,22.27,3.05,25.6,536.30
22.2,35,0.37,22.45,3.28,31.1,510.10
22.2,0.2,0.42,22.03,2.97,31.1,495.90
21.1,0,0.30,21.98,3.72,32.2,492.40
21.1,4.4,0.29,22.08,4.26,31.1,483.20
22.2,7,0.27,22.07,4.29,32.2,461.20
21.1,5.6,0.27,21.94,3.85,33.3,455.50
21.1,19.6,0.26,22.02,3.67,31.1,444.90
20.0,2,0.30,21.43,3.49,30.0,425.10
21.1,23.5,0.24,21.12,4.34,31.1,417.30
20.0,0,0.25,20.86,4.65,31.1,415.20
20.0,2,0.32,20.54,3.89,30.0,403.10
20.0,6,0.30,20.41,3.77,32.2,374.80
21.1,10.8,0.35,20.69,3.33,31.1,335.10
20.0,0,0.34,20.56,3.46,30.0,317.40
21.1,20.7,0.43,20.36,2.57,32.2,303.20
20.0,2.5,0.41,19.16,2.97,32.2,298.30
17.8,124.2,0.63,2.19,3.84,32.2,297.60
16.7,18.6,0.48,8.39,3.33,32.2,297.00
16.7,4,0.31,19.55,3.25,32.2,287.40
16.7,0,0.29,19.63,3.86,26.7,274.30
17.8,9.5,0.22,19.30,3.87,26.7,268.70
16.7,0,0.36,14.48,3.30,26.7,263.00
16.7,3.3,0.37,17.67,3.42,27.8,257.90
16.7,0,0.32,18.84,3.54,25.6,257.30
16.7,0,0.23,19.05,4.58,22.2,251.60
15.6,0,0.18,18.97,4.81,22.2,240.90
16.7,0,0.24,18.93,4.81,28.9,240.30
17.2,0.7,0.22,18.49,3.48,30.0,234.60
17.8,6.3,0.23,17.43,3.37,32.2,229.00
16.7,15.2,0.26,17.62,3.56,24.4,223.30
16.1,0,0.45,10.52,3.05,27.8,217.60
15.6,0,0.41,13.31,3.56,28.9,212.50
15.6,0,0.47,15.56,3.52,27.8,212.00
16.7,0,0.42,16.20,2.54,28.9,206.30
16.7,0,0.46,15.64,2.86,27.8,200.60
16.7,0,0.37,17.43,2.74,26.7,195.00
16.7,0,0.44,16.98,3.18,24.4,189.90
16.7,9.1,0.38,13.74,3.93,25.6,189.30
15.6,10.3,0.40,17.00,2.43,27.8,183.80
15.6,11,0.58,8.75,2.46,26.7,180.00
14.4,0,0.67,2.58,3.59,23.3,180.00
14.4,0,0.32,14.96,3.24,25.6,179.50
14.4,0,0.26,15.48,3.51,21.1,175.30
13.3,14.4,0.24,16.53,3.27,25.6,171.40
14.4,0,0.20,17.08,3.41,24.4,171.40
15.6,0.7,0.29,16.32,3.33,20.0,171.40
14.4,0,0.23,16.49,3.53,23.3,171.00
14.4,0,0.20,16.53,3.58,22.2,167.20
13.3,7.9,0.25,16.16,3.41,18.9,167.20
13.3,0,0.22,15.64,3.75,23.3,167.20
13.3,0,0.30,15.36,3.15,24.4,167.20
14.4,0,0.80,0.89,5.11,26.7,167.20
14.4,0,0.62,1.29,4.10,30.6,166.80
14.4,0,0.33,7.07,3.94,25.6,162.50
14.4,0,0.19,15.90,3.89,27.8,158.30
15.6,0,0.23,15.91,3.11,28.9,154.40
14.4,0,0.26,15.32,3.14,28.3,154.00
13.9,0,0.23,15.45,3.24,27.8,150.20
14.4,0,0.21,12.55,3.49,26.7,150.20
12.2,0,0.26,9.76,2.90,26.7,162.90
12.2,2.1,0.32,13.88,2.90,14.4,166.80
12.2,3.5,0.36,6.86,4.39,23.3,162.90
12.2,0,0.23,14.74,3.21,24.4,162.50
11.1,9.9,0.19,14.57,3.28,25.6,158.30
11.7,0,0.23,14.42,2.84,25.6,154.40
11.1,0,0.32,8.10,3.75,25.6,154.00
12.2,0,0.34,12.70,2.99,23.3,150.20
11.1,0,0.78,1.22,3.19,22.2,150.20
11.1,3.6,0.75,0.94,3.65,23.3,150.20
10.0,1.8,0.32,13.47,3.11,22.2,149.80
11.1,1.5,0.29,13.14,2.35,17.8,145.90
11.1,0,0.25,13.87,2.93,20.0,145.90
11.1,0,0.49,4.68,2.07,21.1,145.90
11.1,0,0.50,13.67,2.51,23.3,145.50
12.2,0,0.41,11.54,2.86,18.9,141.70
12.2,0,0.30,5.60,4.10,16.7,141.70
10.0,0,0.27,8.30,4.48,21.1,141.40
11.1,0,0.27,12.90,3.40,16.7,138.90
10.0,0,0.25,13.08,2.64,20.0,138.90
11.1,0,0.27,12.86,2.75,18.9,138.90
10.0,0.4,0.77,1.02,3.47,18.9,138.90
8.9,50,0.82,1.18,2.46,17.8,138.90
10.0,26.9,0.56,13.12,2.67,20.0,138.90
10.0,0,0.42,9.61,2.83,17.8,138.90
10.0,0,0.50,8.37,1.45,18.9,138.90
10.0,0,0.67,7.52,1.92,20.0,138.90
11.1,0,0.46,12.81,2.87,21.1,138.90
11.1,0,0.47,8.12,2.70,17.8,139.10
10.0,0,0.41,11.45,3.25,13.3,142.10
10.0,0,0.29,13.39,3.39,11.7,145.90
10.0,0,0.28,13.47,2.91,16.7,145.90
10.0,3.7,0.26,13.34,2.86,17.8,145.90
10.0,0,0.23,13.49,3.24,14.4,145.90
10.0,0,0.26,13.58,2.95,15.6,145.50
10.0,0,0.27,11.90,2.51,13.3,141.70
8.9,0,0.27,13.17,3.32,14.4,141.70
8.9,0.5,0.20,13.54,3.60,15.6,141.70
7.8,9,0.21,13.48,2.99,17.8,141.40
6.7,8.5,0.20,13.54,3.26,18.9,138.90
6.7,0,0.27,10.61,2.51,17.8,138.90
6.7,0,0.37,9.98,2.75,20.0,138.90
5.6,0,0.80,1.34,3.03,21.1,138.60
5.6,27.6,0.64,8.10,2.96,17.8,135.70
6.7,0,0.32,0.08,5.13,21.1,132.90
8.9,0,0.25,13.92,4.06,20.0,130.40
7.2,0,0.26,13.83,4.25,19.4,130.40
6.1,0,0.27,13.51,3.48,20.6,130.10
5.6,0,0.37,5.02,2.51,17.8,127.50
7.8,0,0.27,13.36,3.52,15.6,127.80
5.6,0.2,0.33,12.81,2.27,12.2,130.10
5.6,38,0.38,8.85,2.06,13.3,127.50
5.6,19.3,0.32,6.38,2.66,17.8,127.20
6.7,0,0.18,13.70,4.26,18.9,124.70
6.7,0,0.18,12.63,3.89,19.4,124.70
7.8,0,0.28,7.61,4.00,21.1,124.70
10.0,0.3,0.44,3.41,3.33,17.8,124.40
7.8,0,0.27,14.29,3.32,21.1,121.90
8.9,0,0.42,6.83,2.97,20.0,121.90
10.0,0,0.57,1.58,4.44,13.3,121.90
8.9,0,0.23,15.03,3.82,17.8,121.90
10.0,0,0.27,14.55,3.32,17.8,121.90
10.0,0,0.22,14.81,3.74,15.6,121.90
10.0,0,0.21,15.05,3.62,16.7,121.90
10.0,0,0.22,14.85,3.81,17.2,121.60
7.8,0,0.24,15.14,3.95,16.7,119.00
10.0,0,0.27,15.11,2.87,15.6,119.00
10.0,0,0.24,14.04,3.91,14.4,119.00
7.8,0,0.22,15.46,3.62,17.8,119.00
7.8,0,0.25,15.14,3.41,16.7,119.00
7.2,0.3,0.22,15.75,3.65,17.2,118.70
7.8,17.2,0.26,13.65,2.86,16.7,116.20
7.8,0,0.29,8.23,3.24,17.8,116.20
6.7,0,0.21,14.64,4.05,16.7,116.20
7.8,0,0.35,6.28,3.99,17.8,116.20
7.8,0,0.30,12.54,4.02,16.7,116.20
7.2,0,0.32,10.21,3.31,18.3,116.20
7.8,0,0.52,2.62,3.64,18.9,116.20
7.8,0,0.16,14.74,4.98,20.0,116.20
5.6,0,0.15,16.49,4.23,18.9,116.20
5.6,0,0.19,17.07,3.68,18.9,116.20
10.0,0,0.23,16.47,3.49,20.0,116.20
10.0,0,0.21,16.94,4.39,14.4,116.20
10.0,0,0.19,17.10,3.78,20.0,115.90
11.1,0,0.28,17.04,3.68,22.2,113.40
10.0,1,0.26,16.59,3.88,13.3,114.50
7.8,0,0.23,16.83,4.41,20.0,113.40
7.2,0.4,0.19,17.15,4.56,19.4,113.40
6.7,2.8,0.17,14.16,3.31,21.1,113.40
6.7,0,0.66,3.98,5.10,21.7,113.40
8.9,0,0.58,10.50,3.36,22.2,113.40
8.3,0,0.53,17.29,4.08,22.2,113.40
7.8,0,0.60,5.18,4.61,18.9,113.40
8.9,0,0.74,2.72,5.43,16.7,113.40
11.1,0,0.42,16.80,3.58,18.9,113.40
11.1,0,0.27,18.91,3.39,16.7,113.40
14.4,0,0.30,17.78,3.91,18.9,113.60
11.1,0,0.25,17.72,4.15,18.9,116.20
12.2,0,0.54,14.12,4.05,17.8,115.90
13.3,0,0.85,1.48,3.24,21.1,113.40
12.2,0,0.80,1.25,3.01,20.0,113.90
10.0,1.5,0.45,18.53,2.80,17.8,123.60
8.9,0,0.37,19.48,2.91,16.7,121.60
10.0,0,0.36,14.84,3.53,18.9,119.00
11.1,0,0.25,19.85,5.12,20.0,118.70
12.2,0,0.34,8.96,3.62,17.8,116.20
11.1,4.8,0.67,3.25,4.90,18.9,116.50
10.0,0,0.75,4.69,4.24,14.4,121.30
6.7,0,0.53,5.84,3.18,10.0,128.90
8.9,0,0.30,17.98,4.36,20.0,124.40
8.9,0,0.18,21.37,5.08,18.9,121.90
10.0,0,0.22,20.17,3.88,20.0,121.90
10.0,0,0.22,21.14,4.98,22.2,121.90
11.1,0,0.18,21.25,4.79,16.7,121.90
